execution_time_ms,platform,version
30.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenCL
34.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenCL
34.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenCL
30.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenCL
32.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenCL
32.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenCL
36.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenCL
37.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenCL
35.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenCL
35.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenCL
21.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
16.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
15.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
18.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
15.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
15.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
18.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
15.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
19.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
15.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,OpenMP
707.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
803.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
832.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
797.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
816.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
725.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
647.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
768.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
624.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
596.0,Intel(R) Core(TM) i5-7360U CPU @ 2.30GHz,SYCL
618.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
662.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
526.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
514.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
520.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
545.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
524.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
622.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
514.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
621.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,SYCL
6.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenCL
5.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenCL
6.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenCL
7.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenCL
6.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenCL
6.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenCL
6.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenCL
6.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenCL
6.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenCL
5.0,Intel(R) Xeon(R) Silver 4208 CPU @ 2.10GHz,OpenCL
47.0,Intel(R) Gen8 HD Graphics NEO,OpenCL
56.0,Intel(R) Gen8 HD Graphics NEO,OpenCL
60.0,Intel(R) Gen8 HD Graphics NEO,OpenCL
53.0,Intel(R) Gen8 HD Graphics NEO,OpenCL
46.0,Intel(R) Gen8 HD Graphics NEO,OpenCL
53.0,Intel(R) Gen8 HD Graphics NEO,OpenCL
54.0,Intel(R) Gen8 HD Graphics NEO,OpenCL
53.0,Intel(R) Gen8 HD Graphics NEO,OpenCL
55.0,Intel(R) Gen8 HD Graphics NEO,OpenCL
46.0,Intel(R) Gen8 HD Graphics NEO,OpenCL
